tot_claim_cnt_l180d,disb_bank_loan_wo_tbc,day_sinlastloan,tot_active_loans_cnt,tot_active_loans_sum,avg_loan_sum,avg_days_between_contracts
2,0,4,1,314000000,314000000,57.148148148148145
-3,-3,-3,-3,-3,-3,-3.0
0,0,370,0,-1,-1,728.3333333333334
-3,-3,-3,-3,-3,-3,-3.0
2,0,4,1,314000000,314000000,57.148148148148145
0,0,370,0,-1,-1,728.3333333333334
-3,-3,-3,-3,-3,-3,-3.0
2,0,4,1,314000000,314000000,57.148148148148145
0,0,370,0,-1,-1,728.3333333333334
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
2,0,934,0,-1,-1,358.5
2,0,934,0,-1,-1,358.5
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
0,591134623,177,2,709934623,354967311,405.5
-3,-3,-3,-3,-3,-3,-3.0
0,591134623,177,2,709934623,354967311,405.5
3,0,82,0,-1,-1,104.55555555555556
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
3,0,82,0,-1,-1,104.55555555555556
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
3,0,82,0,-1,-1,104.55555555555556
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
3,0,82,0,-1,-1,104.55555555555556
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
0,0,357,1,163599931,163599931,0.0
-3,-3,-3,-3,-3,-3,-3.0
5,1162641874,27,5,1162641874,232528374,-4.357142857142857
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
0,0,357,1,163599931,163599931,0.0
-3,-3,-3,-3,-3,-3,-3.0
5,1162641874,27,5,1162641874,232528374,-4.357142857142857
1,-1,-1,0,-1,-1,0.0
0,0,357,1,163599931,163599931,0.0
1,-1,-1,0,-1,-1,0.0
-3,-3,-3,-3,-3,-3,-3.0
0,0,357,1,163599931,163599931,0.0
2,1361270216,421,2,1361270216,680635108,193.25
-3,-3,-3,-3,-3,-3,-3.0
2,1361270216,421,2,1361270216,680635108,193.25
2,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
2,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
2,0,-1,0,-1,-1,-1.0
2,0,4,1,314000000,314000000,57.148148148148145
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
2,0,-1,0,-1,-1,-1.0
2,0,4,1,314000000,314000000,57.148148148148145
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
2,0,4,1,314000000,314000000,57.148148148148145
0,205400000,351,1,205400000,205400000,0.0
1,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
4,4491314039,56,5,6303498395,1260699679,55.95
2,0,4,1,314000000,314000000,57.148148148148145
1,1469998800,15,1,1469998800,1469998800,339.0
0,205400000,351,1,205400000,205400000,0.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
1,0,-1,0,-1,-1,-1.0
0,205400000,351,1,205400000,205400000,0.0
4,4491314039,56,5,6303498395,1260699679,55.95
1,1469998800,15,1,1469998800,1469998800,339.0
-3,-3,-3,-3,-3,-3,-3.0
0,205400000,351,1,205400000,205400000,0.0
2,707319423,223,1,707319423,707319423,143.14285714285714
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
2,707319423,223,1,707319423,707319423,143.14285714285714
-3,-3,-3,-3,-3,-3,-3.0
2,707319423,223,1,707319423,707319423,143.14285714285714
-3,-3,-3,-3,-3,-3,-3.0
2,707319423,223,1,707319423,707319423,143.14285714285714
-3,-3,-3,-3,-3,-3,-3.0
2,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
2,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
3,0,0,1,411000000,411000000,550.3333333333334
2,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
2,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
3,0,0,1,411000000,411000000,550.3333333333334
-3,-3,-3,-3,-3,-3,-3.0
2,0,-1,0,-1,-1,-1.0
3,0,1700,0,-1,-1,151.6
2,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
3,0,0,1,411000000,411000000,550.3333333333334
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
3,0,1700,0,-1,-1,151.6
-3,-3,-3,-3,-3,-3,-3.0
3,0,0,1,411000000,411000000,550.3333333333334
-3,-3,-3,-3,-3,-3,-3.0
2,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
3,0,1700,0,-1,-1,151.6
2,0,-1,0,-1,-1,-1.0
3,0,1700,0,-1,-1,151.6
0,0,299,1,196974000,196974000,0.0
-3,-3,-3,-3,-3,-3,-3.0
0,0,299,1,196974000,196974000,0.0
-3,-3,-3,-3,-3,-3,-3.0
4,0,51,1,204446666,204446666,0.0
0,0,299,1,196974000,196974000,0.0
-3,-3,-3,-3,-3,-3,-3.0
0,0,299,1,196974000,196974000,0.0
4,0,51,1,204446666,204446666,0.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
4,0,51,1,204446666,204446666,0.0
4,0,51,1,204446666,204446666,0.0
2,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
2,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
2,0,-1,0,-1,-1,-1.0
